,result,table,_start,_stop,_time,_measurement,label,mobile,alpha,beta,gamma,x,y,z
93,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.860000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.1,0.0,0.0,0.0,9.9
94,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.876000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
95,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.893000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.0,0.0,0.0,0.0,9.9
96,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.909000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
97,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.926000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
98,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.943000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
99,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.960000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
100,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.977000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.1,0.0,0.0,0.0,9.9
101,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.993000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.2,0.0,0.0,0.0,9.9
102,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.010000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.1,0.0,0.0,0.0,9.9
103,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.027000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.2,0.0,0.0,0.0,9.9
104,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.043000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.2,0.0,0.0,0.0,9.9
105,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.060000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
106,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:07.077000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
